Paper ID,Authors,Year,Title,MWP Technique,Traditional tests,AU raw,TC MWP Relevance,App Score,App Evidence,Meth Score,Meth Evidence,SigProc Score,SigProc Types,PropC Score,Property Types,Raw Property,IdM Score,Id Methods,Raw IdM,DA Score,Rheo Score,Rheo Models,Rheo Purpose,Reviewer Support,ABK,ABL,Primary,Secondary,Tie-break Used?,Tie-break Reason,Confidence,Rationale,Materials,Geometries
P119,"Li, Long and Chen, Jun",2024,Quantification of tiny damage variation in asphalt mixture during the low-temperature thermal cycle,UT,None reported,Ultrasonic testing (UT),High,1,cracking/damage,2,central frequency (UT); configuration (UT); repetitions (UT); temperature (UT); wave type (UT),1,FFT,1,"stiffness, wave velocity","P-waves/S-waves velocities, Stiffness modulus and Nonlinear ultrasonic parameter β′",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,0,None,Not reported,2,Nonlinear SHG for tiny damage/recovery detection,"More advanced than traditional linear UT studies because it uses nonlinear ultrasonic parameters instead of only wave velocity/modulus. Particularly valuable for low-temperature damage detection and recovery analysis. However, the study is limited to one mixture type (AC-13) and low-temperature thermal cycling conditions.",Testing Methodology Focus,Data Analysis Type,Yes,Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus,Low,"App=1, Meth=2, DA=2 (SigProc=1, PropC=1, IdM=1). Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus.",Hot Mixture Asphalt (HMA),Prism / beam
P39,"Pan, W.-H. and Sun, X.-D. and Wu, L.-M. and Yang, K.-K. and Tang, N.",2019,Damage detection of asphalt concrete using piezo-ultrasonicwave technology,UT,Three-point bending test,"Ultrasonic testing (UT), Three-point bending test",Low,2,conventional-test comparison (Three-point bending test); cracking/damage,1,configuration (UT); temperature (UT); methodological comment (UT),0,Not described,0,wave velocity,ultrasonic velocity,1,Domain reported only,Not reported,1,0,None,Not reported,2,Demonstrated the applicability of ultrasonic wave velocity to assess multiple damage scenarios in asphalt concrete,"The study evaluates different scenarios, which broadens its practical relevance. However, it focuses only on wave velocity as the main indicator. In addition, some details regarding the testing procedures are not clearly reported.",Application Focus,None,No,Single highest technical score,High,"App=2, Meth=1, DA=1 (SigProc=0, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Disc; Prism / beam
P140,"Franesqui, M.Á. and Gallego, J.",2015,Auscultación de la fisuración descendente en pavimentos asfálticos mediante ultrasonidos (Top-down cracking depth assessment in asphalt pavements using ultrasonic testing),UT,None reported,Ultrasonic testing (UT),Medium,2,multiple material types (3); cracking/damage,3,central frequency (UT); configuration (UT); repetitions (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),0,Not described,0,ToF,Ratio of Time-of-Flight between flights longitudinal to cracks and crossing the cracks (longer distance to go around the crack) - used to calculate crack depth..,1,Domain reported only,Not reported,1,0,None,Not reported,2,Demonstration of use of UPV to detect crack depth (from Top-Down cracking) on a pavement.,"Attention, probably for bottom up cracking results would be very different.",Testing Methodology Focus,Application Focus,No,Single highest technical score,High,"App=2, Meth=3, DA=1 (SigProc=0, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Prism / beam
P31,"In, Chi-Won and Kim, Jin-Yeon and Kurtis, Kimberly E. and Jacobs, Laurence J.",2009,Characterization of ultrasonic Rayleigh surface waves in asphaltic concrete,UT,None reported,Ultrasonic testing (UT),High,0,No application evidence identified in the form,2,central frequency (UT); configuration (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),2,"spectral ratio, FFT, filtering, windowing",0,"wave velocity, attenuation","Rayleigh wave phase velocity, Attenuation coefficient",1,Domain reported only,Not reported,1,0,None,Not reported,2,This research quantitatively measured the dispersion and attenuation characteristics of asphaltic concrete in the frequency range from 40 to 100 kHz and found that wedge generation with an air-coupled sensor appeared to be the most reliable method for characterizing Rayleigh waves in asphaltic concrete. A preliminary measurement also demonstrated that the proposed procedure may be used to detect segregation in asphaltic concrete specimens.,"The study used ultrasonic Rayleigh surface waves rather than conventional P-wave through-transmission methods. Three receiver configurations (wedge, microphone, air-coupled sensor) were compared. Key measured outputs were phase velocity and attenuation, with attenuation identified as sensitive to segregation. Frequency range used was 40–100 kHz and test temperature was 22 ± 1 °C.",Testing Methodology Focus,None,No,Single highest technical score,High,"App=0, Meth=2, DA=1 (SigProc=2, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Prism / beam
P159,"Carret, Jean-Claude and Pedraza, Alvaro and Di Benedetto, Hervé and Sauzeat, Cédric",2018,Comparison of the 3-dim linear viscoelastic behavior of asphalt mixes determined with tension-compression and dynamic tests,IR,Complex modulus (E*),"Impact resonance test (IRT), Complex modulus (E*)",High,1,conventional-test comparison (Complex modulus (E*)),3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); repetitions (IR); temperature (IR); methodological comment (IR),2,"coherence, FFT",3,"|E*| / dynamic modulus, phase angle","Norm of the complex modulus, Phase angle of the complex modulus",3,numerical inverse / back-analysis,Numerical inverse analysis (FEM or other),3,2,2S2P1D,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",1,"This study is highly relevant for the TC MWP scope for two main reasons. (i) First, it introduces an automatic impact device for the IR test, which improves the accuracy and repeatability of the measurements compared to manual impacts. (ii) Second, it presents an advanced inverse analysis procedure based on the linear viscoelastic 2S2P1D model. The material parameters were identified by optimizing the agreement between experimental and numerical FRFs. The optimization was performed separately for each temperature using the Matlab fminsearch function and ten points around the first resonance peak. Among the twelve model parameters, only six (E₀, k, δ, τₑ, C₁, and C₂) were optimized, while the remaining parameters were fixed using values obtained from cyclic tension-compression tests.

The main conclusion is that the IR and tension-compression (TC) tests provide consistent estimates of the complex modulus. However, IR measurements resulted in higher values of the complex modulus magnitude and lower phase angles than TC tests. The authors attribute these differences to the nonlinear behavior of asphalt mixtures, since IR tests are performed at significantly lower strain levels (0.1 um/m) than conventional tension-compression tests (50 um/m).",Not reported,Data Analysis Type,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL emphasis resolved to Data Analysis Type,Medium,"App=1, Meth=3, DA=3 (SigProc=2, PropC=3, IdM=3). Scores tied at 3; ABK/ABL emphasis resolved to Data Analysis Type.",Hot Mixture Asphalt (HMA),Cylinder
P127,"Li, F. and Shen, C. and Li, Y. and Li, H.",2006,Research on damage of asphalt concrete by ultrasonic inspection method,UT,"Fatigue test, CT scanning","Ultrasonic testing (UT), Fatigue test, CT scanning",Low,2,"conventional-test comparison (Fatigue test, CT scanning); cracking/damage",2,configuration (UT); transducer type (UT); wave type (UT),0,Not described,0,wave velocity,P-waves/S-waves velocities,0,Not described,Not reported,1,0,None,Not reported,2,"Application of ultrasonic velocity measurements to evaluate damage in asphalt concrete, establishing an exponential relationship between velocity reduction and damage, and demonstrating the feasibility of using ultrasonic methods for crack depth detection.","This study is based on P-wave velocity measurements using through-transmission, focusing on damage detection rather than mechanical property characterization. Unlike more advanced MWP approaches, it does not use attenuation analysis, surface waves, or frequency-domain methods, and does not estimate viscoelastic properties such as complex modulus.",Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Application Focus,Medium,"App=2, Meth=2, DA=1 (SigProc=0, PropC=0, IdM=0). Scores tied at 2; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P79,"Jiang, Z.-Y. and Ponniah, J. and Cascante, G.",2006,Improved ultrasonic pulse velocity technique for bituminous material characterization,UT,Complex modulus (E*),"Ultrasonic testing (UT), Complex modulus (E*)",Low,1,conventional-test comparison (Complex modulus (E*)),1,configuration (UT); wave type (UT),2,"wavelet, time-frequency, FFT, windowing",1,"Young’s/elastic modulus, wave velocity","P-waves/S-waves velocities, Elastic modulus",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,0,None,Not reported,2,Demonstra que os parâmetros ultrassônicos são sensíveis a alterações na rigidez e compactação da mistura asfáltica e apresenta uma correlação moderada com os resultados do módulo dinâmico.,"Este estudo concentra-se na transmissão da onda P e combina a velocidade ultrassônica clássica com processamento de sinal avançado (FFT, STFT, wavelet), mas estabelece apenas uma correlação moderada com o módulo dinâmico e não fornece um modelo preditivo robusto para as propriedades mecânicas.",Data Analysis Type,None,No,Single highest technical score,High,"App=1, Meth=1, DA=2 (SigProc=2, PropC=1, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P70,"Khanghahi, S.H. and Tortum, A.",2019,Examination of the possibility of using gilsonite in hot mix asphalt concrete,UT,None reported,Ultrasonic testing (UT),Medium,0,No application evidence identified in the form,2,repetitions (UT); standard/reference (UT); temperature (UT),0,Not described,0,Other output (see raw),E = 0.623 ∗ ρ ∗ V^2,0,Not described,Not reported,1,0,None,Not reported,1,Ultrasonic Test on bituminous material.,"pp140, 144 & 145",Testing Methodology Focus,None,No,Single highest technical score,High,"App=0, Meth=2, DA=1 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Hot Mixture Asphalt (HMA),Other / special / unspecified
P86,"Adesina, A. and Das, S.",2023,"Influence of Various Recycled Aggregates on the Compressive Strength, Thermal Conductivity, Water Sorption and UPV of Fibre-Reinforced Composites",UT,None reported,Ultrasonic testing (UT),Low,1,RAP/RAS or recycled materials,0,Test parameters not documented in the form,0,Not described,0,Not reported,Not reported,0,Not described,Not reported,0,0,None,Not reported,1,influence of aggregate type on ultrasonic pulse velocity of concrete.,Not reported,Application Focus,None,No,Single highest technical score,High,"App=1, Meth=0, DA=0 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Non-asphalt concrete material,Other / special / unspecified
P118,"Al-Mufti, R. Latif and Fried, A.N.",2016,Pulse velocity assessment of early age creep of concrete,UT,None reported,Ultrasonic testing (UT),Low,2,RAP/RAS or recycled materials; aging,1,central frequency (UT); transducer type (UT),0,Not described,0,"wave velocity, ToF","P-waves/S-waves velocities, Only flying time is obtained",0,Not described,Not reported,1,0,None,Not reported,0,Not reported,Not reported,Application Focus,None,No,Single highest technical score,High,"App=2, Meth=1, DA=1 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Non-asphalt concrete material,Cylinder; Prism / beam
P102,"Biligiri, K.P. and Way, G.B.",2014,Noise-damping characteristics of different pavement surface wearing courses,UT,None reported,Ultrasonic testing (UT),Low,1,multiple material types (2),0,Test parameters not documented in the form,0,Not described,0,Not reported,Not reported,0,Not described,Not reported,0,0,None,Not reported,1,DAMP was developed mainly to characterise fundamental acoustical properties of the different road surface course materials,Not reported,Application Focus,None,No,Single highest technical score,High,"App=1, Meth=0, DA=0 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Hot Mixture Asphalt (HMA); Non-asphalt concrete material,In situ / pavement
P134,"Di Benedetto, H. and Sauzéat, C. and Sohm, J.",2009,Stiffness of bituminous mixtures using ultrasonic wave propagation,UT,Complex modulus (E*),"Ultrasonic testing (UT), Complex modulus (E*)",High,2,conventional-test comparison (Complex modulus (E*)); multiple material types (2); temperature effects (multiple temperatures),2,configuration (UT); repetitions (UT); temperature (UT); transducer type (UT); wave type (UT),1,FFT,2,|E*| / dynamic modulus,Norm of the complex modulus,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,2,2S2P1D,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",1,"wave propagation, correlation to push-pull complex modulus test",Not reported,Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Application Focus,Low,"App=2, Meth=2, DA=2 (SigProc=1, PropC=2, IdM=1). Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P94,"Shah, Syyed Adnan Raheel and Anwar, Muhammad Kashif and Arshad, Hunain and Qurashi, Muhammad Ahmed and Nisar, Aqsa and Khan, Asfar Nasir and Waseem, Muhammad",2020,Marshall stability and flow analysis of asphalt concrete under progressive temperature conditions: An application of advance decision-making approach,UT,None reported,Ultrasonic testing (UT),Low,0,No application evidence identified in the form,0,Test parameters not documented in the form,0,Not described,0,Not reported,Not reported,0,Not described,Not reported,0,0,None,Not reported,1,"This study is not relevant to the TC MWP scope, as it focuses on predicting Marshall stability using Artificial Neural Networks (ANNs). While UT measurements were used as input data for model training, the paper not provides information about tested materials, the ultrasonic testing procedure, and the processing or interpretation of the UT results.",Not reported,Application Focus,None,Yes,Scores tied at 0; ABK/ABL not decisive; richer form evidence favoured Application Focus,Low,"App=0, Meth=0, DA=0 (SigProc=0, PropC=0, IdM=0). Scores tied at 0; ABK/ABL not decisive; richer form evidence favoured Application Focus.",Hot Mixture Asphalt (HMA),Other / special / unspecified
P165,"Gudmarsson, A. and Ryden, N. and Birgisson, B.",2013,Nondestructive evaluation of the complex modulus master curve of asphalt concrete specimens,IR,None reported,Impact resonance test (IRT),High,1,QC / NDE,2,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); temperature (IR),2,"FRF, FFT",2,|E*| / dynamic modulus,Norm of the complex modulus,3,numerical inverse / back-analysis,Numerical inverse analysis (FEM or other),3,2,Havriliak–Negami,Master curve construction,1,"The main contribution is related to the data analysis method. They used two methods: a) RAS, based on an analytical method and using the half-power bandwidth method and two resonant peaks to calculate the complex modulus; b) FRF optimization based on the HN viscoelastic rheological model. The optimization was performed using a Matlab partnership function for ten points of the first resonant peak. This method was applied in two different ways: a single global optimization considering the FRF response of all eleven temperatures and separate optimization for each temperature.The results obtained for these three methodologies were plotted on the Cole-Cole curve and the master curve of the complex modulus norm, and it was concluded that the two methods, RAS  and optimization of FRFs, are shown to give similar results as long as the intrinsic material  damping is relatively low. Through the use of FRFs the complex modulus has been  characterized over a wider frequency range compared to RAS. The optimization of FRFs can be automated without any need for individual  mode identification and extends the frequency range compared to the ASTM C215  standard and RAS.",Not reported,Data Analysis Type,Testing Methodology Focus,No,Single highest technical score,High,"App=1, Meth=2, DA=3 (SigProc=2, PropC=2, IdM=3). Single highest technical score.",Hot Mixture Asphalt (HMA),Prism / beam
P13,"Tauste, R. and Moreno-Navarro, F. and Gallego, R. and Rubio-Gámez, M.C.",2017,Analysis of the sensitivity of the impact resonance frequency test as a tool to determine the elastic properties of bituminous materials,IR,DSR (G*) on the two bitumen,"Impact resonance test (IRT), DSR (G*) on the two bitumen",Medium,2,conventional-test comparison (DSR (G*) on the two bitumen); additives/modifiers; temperature effects (multiple temperatures),3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); repetitions (IR); temperature (IR); methodological comment (IR),1,FFT,3,"|E*| / dynamic modulus, damping","Norm of the complex modulus, Damping",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,0,None,Not reported,1,Evaluation of the repeatability and reproducibility of IRT over a wide range of temperatures for one mixture made with two distinct bitumen. The effect of the specimen length was also evaluated.,Not reported,Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=2, Meth=3, DA=2 (SigProc=1, PropC=3, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Prism / beam
P22,"Lu, Y. and Maia, R.S. and Hajj, R.M.",2024,Backcalculation of asphalt concrete Poisson’s ratio using the ultrasonic pulse velocity test,UT,Complex modulus (E*),"Ultrasonic testing (UT), Complex modulus (E*)",High,2,conventional-test comparison (Complex modulus (E*)); multiple material types (4); RAP/RAS or recycled materials,3,central frequency (UT); configuration (UT); standard/reference (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),0,Not described,0,Not reported,Not reported,0,Not described,Not reported,0,2,Sigmoidal,Master curve construction,1,Shift factor from different bitumen (same mix design) + comparision with Ultrasonic testing,a total of 28 materials,Testing Methodology Focus,Application Focus,No,Single highest technical score,High,"App=2, Meth=3, DA=0 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P106,"Jiang, Z. and Ponniah, J. and Cascante, G. and Haas, R.",2011,Nondestructive ultrasonic testing methodology for condition assessment of hot mix asphalt specimens,UT,Complex modulus (E*),"Ultrasonic testing (UT), Complex modulus (E*)",High,2,conventional-test comparison (Complex modulus (E*)); multiple material types (2); additives/modifiers,3,central frequency (UT); configuration (UT); repetitions (UT); standard/reference (UT); temperature (UT); transducer type (UT); wave type (UT),2,"coherence, FFT, windowing",0,wave velocity,"P-waves/S-waves velocities, Constrained Modulus (M), Peak-to-Peak Amplitude, Maximum Fourier Spectrum Magnitude, Spectrum Area, and Dominant Frequency",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations | Threshold method,1,0,None,Comparison of results from different tests (e.g. between MWP tests and complex modulus tests),1,"The study successfully demonstrated that the introduction of signal attenuation analysis (time- and frequency-domain amplitude analysis) resolves the historical inaccuracy of the pure ultrasonic velocity method for asphalt materials, establishing a viable non-destructive procedure for indirectly estimating the dynamic modulus (|E*|) of asphalt with a high coefficient of determination.",Not reported,Testing Methodology Focus,Application Focus,No,Single highest technical score,High,"App=2, Meth=3, DA=1 (SigProc=2, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
